"region","category","sub_category","segment","sales","profit","quantity","discount"
"West","Office Supplies","Paper","Consumer","20.04","9.6192",3,"0.0"
"West","Office Supplies","Paper","Consumer","35.44","16.6568",1,"0.0"
"West","Office Supplies","Art","Consumer","11.52","3.456",4,"0.0"
"West","Office Supplies","Fasteners","Consumer","4.02","1.9698",2,"0.0"
"West","Office Supplies","Binders","Consumer","76.176","26.6616",3,"0.2"
"West","Office Supplies","Supplies","Consumer","65.88","18.4464",6,"0.0"
"West","Furniture","Furnishings","Consumer","43.12","20.6976",14,"0.0"
"East","Furniture","Furnishings","Corporate","82.8","10.35",2,"0.2"
"West","Office Supplies","Art","Corporate","8.82","2.3814",3,"0.0"
"West","Office Supplies","Envelopes","Corporate","10.86","5.1042",3,"0.0"
"West","Office Supplies","Paper","Corporate","143.7","68.976",3,"0.0"
"Central","Office Supplies","Appliances","Consumer","839.43","218.2518",3,"0.0"
"West","Office Supplies","Storage","Consumer","671.93","20.1579",7,"0.0"
"East","Furniture","Furnishings","Home Office","93.888","12.9096",4,"0.2"
"Central","Technology","Phones","Corporate","384.45","103.8015",11,"0.0"
"Central","Technology","Phones","Corporate","149.97","5.9988",3,"0.0"
"Central","Furniture","Chairs","Corporate","1951.84","585.552",8,"0.0"
"Central","Office Supplies","Binders","Corporate","171.55","80.6285",5,"0.0"
"West","Office Supplies","Appliances","Home Office","157.92","17.766",5,"0.2"
"West","Technology","Phones","Home Office","203.184","15.2388",2,"0.2"
"West","Office Supplies","Paper","Corporate","58.38","26.271",7,"0.0"
"West","Office Supplies","Paper","Corporate","105.52","48.5392",4,"0.0"
"West","Office Supplies","Storage","Corporate","80.88","21.0288",6,"0.0"
"West","Office Supplies","Art","Home Office","6.63","1.7901",3,"0.0"
"West","Furniture","Chairs","Consumer","457.568","51.4764",2,"0.2"
"Central","Office Supplies","Labels","Consumer","14.62","6.8714",2,"0.0"
"Central","Technology","Phones","Consumer","944.93","236.2325",7,"0.0"
"West","Office Supplies","Paper","Consumer","5.98","2.691",1,"0.0"
"East","Technology","Accessories","Consumer","54.384","1.3596",2,"0.2"
"West","Office Supplies","Envelopes","Consumer","28.4","13.348",5,"0.0"
"West","Office Supplies","Binders","Consumer","27.68","9.688",2,"0.2"
"Central","Office Supplies","Art","Consumer","9.936","2.7324",3,"0.2"
"Central","Technology","Machines","Consumer","8159.952","-1359.992",8,"0.4"
"Central","Office Supplies","Storage","Consumer","275.928","-58.6347",3,"0.2"
"Central","Furniture","Chairs","Consumer","1740.06","-24.858",9,"0.3"
"Central","Office Supplies","Art","Consumer","32.064","6.8136",6,"0.2"
"Central","Office Supplies","Appliances","Consumer","177.98","-453.849",5,"0.8"
"Central","Technology","Phones","Consumer","143.976","8.9985",3,"0.2"
"West","Office Supplies","Paper","Consumer","20.94","9.8418",3,"0.0"
"West","Office Supplies","Paper","Consumer","110.96","53.2608",2,"0.0"
"West","Furniture","Chairs","Consumer","340.144","21.259",7,"0.2"
"Central","Office Supplies","Appliances","Corporate","52.448","-131.12",2,"0.8"
"Central","Office Supplies","Labels","Corporate","20.16","6.552",4,"0.2"
"Central","Office Supplies","Appliances","Consumer","97.264","-243.16",4,"0.8"
"East","Furniture","Chairs","Consumer","396.802","-11.3372",7,"0.3"
"East","Office Supplies","Supplies","Consumer","15.88","-3.7715",5,"0.2"
"East","Office Supplies","Art","Home Office","3.28","1.4104",1,"0.0"
"Central","Office Supplies","Storage","Corporate","24.816","1.8612",2,"0.2"
"Central","Technology","Accessories","Corporate","408.744","76.6395",7,"0.2"
"South","Technology","Phones","Home Office","503.96","131.0296",4,"0.0"
"South","Technology","Phones","Home Office","149.95","41.986",5,"0.0"
"South","Technology","Accessories","Home Office","29.0","7.25",2,"0.0"
"East","Office Supplies","Binders","Consumer","7.16","3.4368",2,"0.0"
"West","Technology","Accessories","Home Office","176.8","22.984",8,"0.0"
"Central","Office Supplies","Storage","Corporate","37.224","3.7224",3,"0.2"
"Central","Office Supplies","Paper","Corporate","20.016","6.255",3,"0.2"
"East","Furniture","Bookcases","Home Office","899.136","112.392",4,"0.2"
"East","Technology","Phones","Home Office","71.76","20.0928",6,"0.0"
"East","Office Supplies","Paper","Home Office","51.84","24.8832",8,"0.0"
"East","Furniture","Bookcases","Home Office","626.352","46.9764",3,"0.2"
"East","Office Supplies","Art","Home Office","19.9","6.567",5,"0.0"
"West","Office Supplies","Envelopes","Corporate","14.28","6.7116",7,"0.0"
"East","Office Supplies","Art","Consumer","7.408","1.2038",2,"0.2"
"East","Office Supplies","Art","Consumer","6.048","1.5876",3,"0.2"
"East","Office Supplies","Storage","Home Office","46.26","12.0276",3,"0.0"
"East","Office Supplies","Binders","Corporate","2.946","-2.2586",2,"0.7"
"East","Office Supplies","Paper","Corporate","16.056","5.8203",3,"0.2"
"East","Office Supplies","Paper","Consumer","21.744","6.795",3,"0.2"
"West","Furniture","Tables","Consumer","218.75","-161.875",2,"0.5"
"West","Office Supplies","Appliances","Consumer","2.6","0.2925",1,"0.2"
"Central","Office Supplies","Appliances","Consumer","66.284","-178.9668",2,"0.8"
"South","Furniture","Furnishings","Corporate","35.168","9.6712",7,"0.2"
"West","Technology","Phones","Consumer","444.768","44.4768",4,"0.2"
"Central","Office Supplies","Storage","Consumer","83.92","5.8744",4,"0.0"
"Central","Technology","Phones","Consumer","131.98","35.6346",2,"0.0"
"Central","Office Supplies","Binders","Consumer","15.92","7.4824",4,"0.0"
"Central","Office Supplies","Fasteners","Consumer","52.29","16.2099",9,"0.0"
"Central","Office Supplies","Storage","Consumer","91.99","3.6796",1,"0.0"
"Central","Technology","Accessories","Corporate","20.8","6.5",2,"0.2"
"East","Office Supplies","Labels","Corporate","23.68","8.88",2,"0.2"
"East","Furniture","Bookcases","Corporate","452.45","-244.323",5,"0.5"
"East","Technology","Phones","Corporate","62.982","-14.6958",3,"0.4"
"East","Technology","Machines","Corporate","1188.0","-950.4",9,"0.7"
"East","Technology","Accessories","Corporate","89.584","4.4792",2,"0.2"
"West","Office Supplies","Storage","Consumer","93.06","26.0568",6,"0.0"
"West","Technology","Phones","Consumer","302.376","22.6782",3,"0.2"
"East","Office Supplies","Fasteners","Consumer","5.584","1.8148",2,"0.2"
"East","Office Supplies","Paper","Consumer","22.704","8.2302",6,"0.2"
"East","Office Supplies","Binders","Consumer","19.776","-13.8432",4,"0.7"
"East","Furniture","Furnishings","Consumer","72.704","19.0848",4,"0.2"
"East","Technology","Machines","Consumer","479.988","-383.9904",4,"0.7"
"East","Office Supplies","Art","Consumer","27.168","2.7168",2,"0.2"
"Central","Office Supplies","Art","Corporate","2.2","0.968",1,"0.0"
"Central","Furniture","Tables","Corporate","622.45","136.939",5,"0.0"
"Central","Office Supplies","Storage","Corporate","21.98","0.2198",1,"0.0"
"South","Furniture","Chairs","Consumer","161.568","-28.2744",2,"0.2"
"South","Furniture","Chairs","Consumer","389.696","43.8408",8,"0.2"
"South","Office Supplies","Binders","Corporate","18.648","-12.432",7,"0.7"
"South","Furniture","Tables","Home Office","233.86","-102.048",2,"0.45"
"South","Furniture","Tables","Home Office","620.6145","-248.2458",3,"0.45"
"South","Office Supplies","Binders","Home Office","5.328","-3.552",2,"0.7"
"South","Furniture","Furnishings","Home Office","258.072","0.0",3,"0.2"
"South","Technology","Accessories","Home Office","617.976","-7.7247",3,"0.2"
"West","Office Supplies","Paper","Corporate","10.56","4.752",2,"0.0"
"Central","Office Supplies","Paper","Consumer","25.92","9.396",5,"0.2"
"Central","Furniture","Furnishings","Consumer","419.68","-356.728",5,"0.6"
"Central","Furniture","Furnishings","Consumer","11.688","-4.6752",3,"0.6"
"Central","Technology","Phones","Consumer","31.984","11.1944",2,"0.2"
"Central","Furniture","Tables","Consumer","177.225","-120.513",5,"0.5"
"Central","Furniture","Furnishings","Consumer","4.044","-2.8308",3,"0.6"
"Central","Office Supplies","Art","Consumer","7.408","1.2038",2,"0.2"
"Central","Furniture","Chairs","Home Office","2001.86","580.5394",7,"0.0"
"Central","Office Supplies","Storage","Home Office","166.72","41.68",2,"0.0"
"Central","Office Supplies","Paper","Home Office","47.88","23.94",6,"0.0"
"Central","Office Supplies","Appliances","Home Office","1503.25","496.0725",5,"0.0"
"Central","Office Supplies","Paper","Home Office","25.92","12.4416",4,"0.0"
"West","Furniture","Chairs","Consumer","321.568","28.1372",2,"0.2"
"West","Office Supplies","Paper","Consumer","7.61","3.5767",1,"0.0"
"West","Technology","Accessories","Consumer","3347.37","636.0003",13,"0.0"
"East","Office Supplies","Storage","Consumer","80.58","22.5624",6,"0.0"
"East","Office Supplies","Envelopes","Consumer","361.92","162.864",4,"0.0"
"Central","Furniture","Furnishings","Corporate","12.132","-8.4924",9,"0.6"
"Central","Office Supplies","Storage","Corporate","82.368","-19.5624",2,"0.2"
"Central","Office Supplies","Storage","Corporate","53.92","4.044",5,"0.2"
"Central","Technology","Phones","Corporate","647.904","56.6916",6,"0.2"
"East","Technology","Accessories","Consumer","20.37","6.9258",3,"0.0"
"East","Office Supplies","Storage","Consumer","221.55","6.6465",3,"0.0"
"East","Office Supplies","Binders","Consumer","17.52","6.132",5,"0.2"
"Central","Office Supplies","Appliances","Corporate","1.624","-4.466",2,"0.8"
"Central","Technology","Machines","Corporate","3059.982","-509.997",3,"0.4"
"Central","Technology","Machines","Corporate","2519.958","-251.9958",7,"0.4"
"Central","Technology","Phones","Consumer","328.224","28.7196",4,"0.2"
"West","Technology","Accessories","Consumer","79.9","35.156",2,"0.0"
"South","Office Supplies","Art","Corporate","14.016","4.7304",3,"0.2"
"East","Office Supplies","Fasteners","Consumer","7.56","0.3024",6,"0.0"
"East","Office Supplies","Storage","Corporate","37.208","-7.4416",1,"0.2"
"East","Office Supplies","Envelopes","Corporate","57.576","21.591",3,"0.2"
"West","Office Supplies","Storage","Corporate","725.84","210.4936",4,"0.0"
"West","Technology","Accessories","Consumer","209.93","92.3692",7,"0.0"
"West","Furniture","Furnishings","Consumer","5.28","2.3232",3,"0.0"
"West","Office Supplies","Binders","Consumer","10.92","4.095",3,"0.2"
"West","Office Supplies","Paper","Corporate","8.82","4.0572",2,"0.0"
"West","Office Supplies","Art","Corporate","5.98","1.5548",1,"0.0"
"East","Office Supplies","Paper","Corporate","11.648","4.0768",2,"0.2"
"East","Office Supplies","Paper","Corporate","18.176","5.9072",4,"0.2"
"East","Office Supplies","Storage","Corporate","59.712","5.9712",6,"0.2"
"East","Office Supplies","Labels","Corporate","24.84","8.694",3,"0.2"
"Central","Office Supplies","Binders","Consumer","2.08","-3.432",5,"0.8"
"Central","Technology","Phones","Consumer","1114.4","376.11",7,"0.2"
"West","Furniture","Tables","Consumer","1038.84","51.942",5,"0.2"
"West","Office Supplies","Paper","Consumer","141.76","47.844",5,"0.2"
"West","Technology","Accessories","Consumer","239.8","47.96",5,"0.2"
"West","Office Supplies","Paper","Consumer","31.104","10.8864",6,"0.2"
"South","Office Supplies","Binders","Corporate","254.058","-169.372",7,"0.7"
"South","Office Supplies","Appliances","Corporate","194.528","24.316",2,"0.2"
"South","Office Supplies","Supplies","Corporate","961.48","-204.3145",5,"0.2"
"East","Office Supplies","Fasteners","Home Office","19.096","6.6836",7,"0.2"
"East","Office Supplies","Labels","Home Office","18.496","6.2424",8,"0.2"
"East","Technology","Accessories","Home Office","255.984","54.3966",2,"0.2"
"East","Furniture","Bookcases","Home Office","86.97","-48.7032",3,"0.5"
"West","Furniture","Furnishings","Corporate","300.416","78.8592",8,"0.2"
"West","Furniture","Chairs","Corporate","230.352","20.1558",3,"0.2"
"West","Furniture","Furnishings","Corporate","218.352","-24.5646",3,"0.2"
"West","Office Supplies","Binders","Corporate","78.6","-62.88",5,"0.7"
"West","Office Supplies","Fasteners","Corporate","27.552","9.2988",3,"0.2"
"East","Office Supplies","Paper","Corporate","32.4","15.552",5,"0.0"
"East","Office Supplies","Storage","Corporate","1082.48","10.8248",8,"0.0"
"East","Office Supplies","Paper","Corporate","56.91","27.3168",3,"0.0"
"East","Furniture","Furnishings","Corporate","77.6","38.024",4,"0.0"
"East","Office Supplies","Binders","Corporate","14.28","6.5688",1,"0.0"
"Central","Furniture","Tables","Consumer","219.075","-131.445",3,"0.5"
"East","Furniture","Furnishings","Corporate","26.8","12.864",2,"0.0"
"Central","Office Supplies","Art","Corporate","9.84","2.8536",3,"0.0"
"East","Office Supplies","Binders","Home Office","45.48","20.9208",3,"0.0"
"East","Office Supplies","Art","Home Office","289.2","83.868",6,"0.0"
"South","Office Supplies","Art","Consumer","4.89","2.0049",1,"0.0"
"West","Furniture","Furnishings","Corporate","15.136","3.5948",4,"0.2"
"West","Furniture","Chairs","Corporate","466.768","52.5114",2,"0.2"
"West","Furniture","Furnishings","Corporate","15.232","1.7136",1,"0.2"
"West","Office Supplies","Labels","Corporate","6.264","2.0358",3,"0.2"
"East","Furniture","Furnishings","Corporate","87.54","37.6422",3,"0.0"
"South","Technology","Phones","Corporate","178.384","22.298",2,"0.2"
"East","Office Supplies","Art","Corporate","99.136","8.6744",4,"0.2"
"East","Furniture","Chairs","Home Office","135.882","24.1568",1,"0.1"
"East","Technology","Machines","Home Office","3991.98","1995.99",2,"0.0"
"East","Technology","Phones","Home Office","275.94","80.0226",6,"0.0"
"East","Technology","Accessories","Home Office","360.0","129.6",4,"0.0"
"East","Office Supplies","Storage","Home Office","43.57","13.071",1,"0.0"
"West","Office Supplies","Fasteners","Corporate","7.16","3.58",2,"0.0"
"West","Office Supplies","Binders","Corporate","251.52","81.744",6,"0.2"
"West","Technology","Accessories","Corporate","99.99","34.9965",1,"0.0"
"South","Furniture","Furnishings","Corporate","15.992","0.9995",1,"0.2"
"East","Technology","Phones","Consumer","290.898","-67.8762",3,"0.4"
"East","Office Supplies","Storage","Consumer","54.224","3.389",2,"0.2"
"East","Furniture","Chairs","Consumer","786.744","-258.5016",4,"0.3"
"East","Office Supplies","Labels","Consumer","100.24","33.831",10,"0.2"
"East","Office Supplies","Binders","Consumer","37.764","-27.6936",6,"0.7"
"East","Technology","Phones","Consumer","82.8","-20.7",2,"0.4"
"East","Office Supplies","Binders","Consumer","20.724","-13.816",2,"0.7"
"East","Office Supplies","Binders","Consumer","4.896","-3.4272",3,"0.7"
"West","Office Supplies","Binders","Consumer","4.752","1.6038",1,"0.2"
"West","Technology","Copiers","Consumer","959.984","335.9944",2,"0.2"
"West","Office Supplies","Binders","Consumer","14.368","4.49",4,"0.2"
"West","Office Supplies","Binders","Corporate","7.712","2.7956",2,"0.2"
"West","Furniture","Tables","Corporate","698.352","-17.4588",3,"0.2"
"West","Office Supplies","Fasteners","Consumer","4.96","2.3312",4,"0.0"
"East","Office Supplies","Art","Corporate","17.856","1.116",4,"0.2"
"East","Office Supplies","Binders","Corporate","509.97","-407.976",10,"0.7"
"East","Office Supplies","Fasteners","Corporate","30.992","10.0724",13,"0.2"
"East","Technology","Phones","Corporate","71.928","8.3916",12,"0.4"
"Central","Office Supplies","Storage","Consumer","88.8","-2.22",4,"0.2"
"West","Technology","Phones","Consumer","47.976","4.7976",3,"0.2"
"East","Office Supplies","Art","Consumer","7.56","3.0996",3,"0.0"
"East","Office Supplies","Paper","Consumer","24.56","11.5432",2,"0.0"
"East","Office Supplies","Art","Consumer","12.96","4.1472",2,"0.0"
"East","Technology","Accessories","Home Office","6.79","2.3086",1,"0.0"
"East","Office Supplies","Paper","Home Office","24.56","11.5432",2,"0.0"
"East","Office Supplies","Binders","Home Office","3.048","1.0668",1,"0.2"
"East","Office Supplies","Paper","Home Office","49.12","23.0864",4,"0.0"
"East","Office Supplies","Binders","Home Office","4355.168","1415.4296",4,"0.2"
"East","Furniture","Bookcases","Consumer","388.704","-4.8588",6,"0.2"
"East","Office Supplies","Envelopes","Consumer","8.26","3.7996",2,"0.0"
"East","Office Supplies","Art","Consumer","17.04","6.9864",4,"0.0"
"East","Office Supplies","Paper","Consumer","34.4","15.824",5,"0.0"
"South","Office Supplies","Paper","Corporate","36.24","11.325",5,"0.2"
"South","Office Supplies","Appliances","Corporate","647.84","168.4384",8,"0.0"
"South","Office Supplies","Labels","Corporate","20.7","9.936",2,"0.0"
"East","Office Supplies","Labels","Consumer","20.7","9.936",2,"0.0"
"East","Furniture","Chairs","Consumer","488.646","86.8704",3,"0.1"
"East","Office Supplies","Art","Consumer","5.56","1.4456",2,"0.0"
"East","Furniture","Furnishings","Consumer","47.12","20.7328",8,"0.0"
"West","Office Supplies","Storage","Consumer","211.96","8.4784",4,"0.0"
"East","Office Supplies","Binders","Corporate","23.2","10.44",4,"0.0"
"East","Office Supplies","Supplies","Corporate","7.36","0.1472",2,"0.0"
"East","Office Supplies","Storage","Corporate","104.79","29.3412",7,"0.0"
"East","Furniture","Bookcases","Corporate","1043.92","271.4192",4,"0.0"
"Central","Office Supplies","Paper","Consumer","25.92","9.396",5,"0.2"
"Central","Office Supplies","Storage","Consumer","53.424","4.6746",3,"0.2"
"West","Office Supplies","Binders","Consumer","8.16","-5.712",5,"0.7"
"West","Technology","Accessories","Consumer","1023.936","179.1888",8,"0.2"
"West","Office Supplies","Art","Consumer","9.24","0.924",1,"0.2"
"West","Technology","Accessories","Consumer","479.04","-29.94",10,"0.2"
"Central","Office Supplies","Paper","Corporate","99.136","30.98",4,"0.2"
"East","Furniture","Tables","Corporate","1488.424","-297.6848",7,"0.3"
"Central","Office Supplies","Appliances","Consumer","8.652","-20.3322",3,"0.8"
"Central","Office Supplies","Storage","Consumer","23.832","2.6811",3,"0.2"
"Central","Office Supplies","Binders","Consumer","12.176","-18.8728",4,"0.8"
"West","Office Supplies","Paper","Corporate","50.96","25.48",7,"0.0"
"West","Office Supplies","Binders","Corporate","49.536","17.3376",3,"0.2"
"Central","Technology","Accessories","Corporate","41.9","8.799",2,"0.0"
"South","Furniture","Tables","Consumer","375.4575","-157.0095",3,"0.45"
"South","Technology","Accessories","Consumer","83.976","-1.0497",3,"0.2"
"East","Technology","Machines","Corporate","482.34","-337.638",4,"0.7"
"East","Furniture","Furnishings","Corporate","2.96","0.777",1,"0.2"
"East","Office Supplies","Art","Consumer","2.624","0.4264",1,"0.2"
"East","Office Supplies","Binders","Consumer","23.36","7.884",4,"0.2"
